All joint Positions
BaseSpine,Head,LeftElbow,LeftFoot,LeftHand,LeftHip,LeftKnee,LeftShoulder,LeftWrist,MidSpine,Neck,RightElbow,RightFoot,RightHand,RightHip,RightKnee,RightShoulder,RightWrist,ShoulderSpine,
(58.61 997.83 2505.76),(67.08 625.09 2487.08),(-209.85 607.37 2507.66),(-334.74 113.39 2496.3),(-442.51 -334.71 2316.57),(358.16 610.74 2487.63),(537.87 135.59 2513.93),(593.18 -240.02 2293.45),(51.91 171.64 2482.81),(55.89 -181.03 2432.83),(-146.48 -207.32 2442.85),(-9.57 -850.88 2210.22),(59.29 -1490.04 2389.8),(252.86 -162.19 2394.9),(332.81 -237.72 1967.82),(447.59 -706.16 1680.26),(-424.54 -260.02 2346.53),(583.66 -177.79 2330.1),(72.1 775.45 2488.49),
(58.62 1028.38 2509.71),(72.81 657.35 2488.28),(-208.14 636.68 2508.4),(-335.75 147.18 2507.65),(-444.74 -305.14 2327.84),(359.58 646.85 2488.48),(530.19 171.88 2511.37),(623.58 -210.91 2286.1),(75.99 206.56 2484.43),(88.26 -146.21 2434.57),(-107.31 -186.49 2442.41),(-27.17 -868.16 2236.32),(62.88 -1517.45 2402.48),(280.1 -140.35 2397.28),(331.2 -327.03 1976.42),(426.56 -922.5 1787.89),(-426.57 -229.76 2357.81),(607.76 -147.32 2323.55),(71.71 807.79 2489.57),
(58.62 1028.38 2509.71),(72.81 657.35 2488.28),(-208.14 636.68 2508.4),(-335.75 147.18 2507.65),(-444.74 -305.14 2327.84),(359.58 646.85 2488.48),(530.19 171.88 2511.37),(623.58 -210.91 2286.1),(75.99 206.56 2484.43),(88.26 -146.21 2434.57),(-107.31 -186.49 2442.41),(-27.17 -868.16 2236.32),(62.88 -1517.45 2402.48),(280.1 -140.35 2397.28),(331.2 -327.03 1976.42),(426.56 -922.5 1787.89),(-426.57 -229.76 2357.81),(607.76 -147.32 2323.55),(71.71 807.79 2489.57),
(58.65 1051.64 2514.14),(78.38 682.64 2488.91),(-204.91 656.2 2509.13),(-335.94 172.96 2515.21),(-445.46 -283.32 2334.69),(358.89 671.03 2488.44),(526.61 199.62 2500.23),(628.33 -178.11 2267.12),(98.7 234.81 2483.65),(117.18 -118.49 2435.06),(-70.5 -181.08 2442.02),(-41.27 -892.85 2261.06),(72.23 -1542.57 2411.45),(304.07 -137.56 2398.26),(329.09 -429.19 1992.86),(411.4 -1099.91 1903.84),(-427.2 -207.27 2364.78),(611.22 -115.26 2305.9),(71.54 832.96 2490.67),
(58.65 1051.64 2514.14),(78.38 682.64 2488.91),(-204.91 656.2 2509.13),(-335.94 172.96 2515.21),(-445.46 -283.32 2334.69),(358.89 671.03 2488.44),(526.61 199.62 2500.23),(628.33 -178.11 2267.12),(98.7 234.81 2483.65),(117.18 -118.49 2435.06),(-70.5 -181.08 2442.02),(-41.27 -892.85 2261.06),(72.23 -1542.57 2411.45),(304.07 -137.56 2398.26),(329.09 -429.19 1992.86),(411.4 -1099.91 1903.84),(-427.2 -207.27 2364.78),(611.22 -115.26 2305.9),(71.54 832.96 2490.67),
(58.78 1066.07 2517.49),(83.28 698.95 2488.2),(-200.46 664.44 2509.68),(-335.81 188.29 2522.03),(-443.61 -269.05 2338.03),(359.63 685.87 2486.49),(527.4 220.66 2479.36),(618.3 -149.61 2238.08),(116.82 252.74 2478.6),(139.33 -101.3 2431.81),(-39.02 -192.5 2440.32),(-44.94 -919.65 2276.84),(92.71 -1567.61 2416.74),(324.64 -147.46 2396.24),(326.76 -524.42 2012.25),(382.56 -1228.97 2010.28),(-425.64 -192.83 2368.7),(603.07 -87.95 2278.25),(72 849.01 2491.44),
(58.78 1066.07 2517.49),(83.28 698.95 2488.2),(-200.46 664.44 2509.68),(-335.81 188.29 2522.03),(-443.61 -269.05 2338.03),(359.63 685.87 2486.49),(527.4 220.66 2479.36),(618.3 -149.61 2238.08),(116.82 252.74 2478.6),(139.33 -101.3 2431.81),(-39.02 -192.5 2440.32),(-44.94 -919.65 2276.84),(92.71 -1567.61 2416.74),(324.64 -147.46 2396.24),(326.76 -524.42 2012.25),(382.56 -1228.97 2010.28),(-425.64 -192.83 2368.7),(603.07 -87.95 2278.25),(72 849.01 2491.44),
(60.11 1073.57 2519.62),(87.7 705.67 2485.93),(-195.5 662.45 2509.47),(-336.81 190.26 2526.97),(-441.98 -262.97 2336.36),(363.59 692.89 2480.31),(541.08 234.35 2458.32),(595.79 -116.15 2204.23),(128.92 258.96 2468.31),(153.16 -95.78 2423.09),(-20.83 -209.25 2434.94),(-27.52 -947.97 2293.69),(127.92 -1599.68 2418.02),(339.37 -163.53 2386.33),(321.73 -618.6 2032.09),(345.5 -1325.04 2096.85),(-424.45 -187.43 2368.13),(586.66 -57.76 2246.55),(73.91 855.32 2491.82),
(60.11 1073.57 2519.62),(87.7 705.67 2485.93),(-195.5 662.45 2509.47),(-336.81 190.26 2526.97),(-441.98 -262.97 2336.36),(363.59 692.89 2480.31),(541.08 234.35 2458.32),(595.79 -116.15 2204.23),(128.92 258.96 2468.31),(153.16 -95.78 2423.09),(-20.83 -209.25 2434.94),(-27.52 -947.97 2293.69),(127.92 -1599.68 2418.02),(339.37 -163.53 2386.33),(321.73 -618.6 2032.09),(345.5 -1325.04 2096.85),(-424.45 -187.43 2368.13),(586.66 -57.76 2246.55),(73.91 855.32 2491.82),
(65.4 1071.03 2520.73),(93.7 701.88 2481.9),(-186.51 648.94 2508.81),(-338.43 180.58 2531.62),(-439.79 -265.2 2332.62),(370.44 689.4 2469.02),(567.3 240.44 2436.16),(567.82 -90.57 2171.82),(136.84 252.52 2454.64),(160.21 -99 2410),(-11.35 -237.51 2419.33),(-8.98 -985.17 2299.83),(154.48 -1634.87 2422.66),(347.08 -193.68 2371.15),(312.84 -727.21 2056.48),(308.76 -1418.88 2167.81),(-422.9 -190.9 2365.78),(567.76 -35.42 2215.86),(79.39 851.03 2490.92),
(65.4 1071.03 2520.73),(93.7 701.88 2481.9),(-186.51 648.94 2508.81),(-338.43 180.58 2531.62),(-439.79 -265.2 2332.62),(370.44 689.4 2469.02),(567.3 240.44 2436.16),(567.82 -90.57 2171.82),(136.84 252.52 2454.64),(160.21 -99 2410),(-11.35 -237.51 2419.33),(-8.98 -985.17 2299.83),(154.48 -1634.87 2422.66),(347.08 -193.68 2371.15),(312.84 -727.21 2056.48),(308.76 -1418.88 2167.81),(-422.9 -190.9 2365.78),(567.76 -35.42 2215.86),(79.39 851.03 2490.92),
(78.02 1056.67 2521.24),(102.81 687.71 2476.64),(-172.38 626.59 2507.99),(-335.5 161.51 2534.35),(-435.84 -281.06 2331.53),(377.55 666.59 2459.91),(587.91 226.46 2413),(550.94 -73.63 2137.21),(141.9 234.44 2442.82),(163.02 -113.04 2397.07),(-8.46 -276.57 2399.53),(-17.18 -1028.16 2286.97),(173.24 -1653.31 2430.97),(350.26 -238.31 2356.06),(304.21 -849.26 2090.57),(294.79 -1525.22 2227.9),(-419.12 -207.3 2365.33),(557.12 -23.63 2183.17),(89.94 836.62 2487.73),
(78.02 1056.67 2521.24),(102.81 687.71 2476.64),(-172.38 626.59 2507.99),(-335.5 161.51 2534.35),(-435.84 -281.06 2331.53),(377.55 666.59 2459.91),(587.91 226.46 2413),(550.94 -73.63 2137.21),(141.9 234.44 2442.82),(163.02 -113.04 2397.07),(-8.46 -276.57 2399.53),(-17.18 -1028.16 2286.97),(173.24 -1653.31 2430.97),(350.26 -238.31 2356.06),(304.21 -849.26 2090.57),(294.79 -1525.22 2227.9),(-419.12 -207.3 2365.33),(557.12 -23.63 2183.17),(89.94 836.62 2487.73),
(99.25 1026.14 2519.61),(119.74 657.26 2469.4),(-153.89 595.72 2504.03),(-327.35 133.72 2533.68),(-428.34 -314.83 2334.56),(399.31 635.45 2450.33),(604.92 196.86 2389.74),(540.76 -62.18 2102.26),(147.99 200.65 2431.24),(165.11 -143.89 2384.47),(-9.28 -314.36 2380.81),(-33.08 -1050.61 2244.18),(154.54 -1637.42 2428.68),(356 -277.33 2346.22),(303.25 -938.87 2119.22),(293.53 -1600.61 2271.65),(-411.51 -240.08 2367.75),(551.46 -19.02 2150.18),(110.49 806.13 2481.84),
(99.25 1026.14 2519.61),(119.74 657.26 2469.4),(-153.89 595.72 2504.03),(-327.35 133.72 2533.68),(-428.34 -314.83 2334.56),(399.31 635.45 2450.33),(604.92 196.86 2389.74),(540.76 -62.18 2102.26),(147.99 200.65 2431.24),(165.11 -143.89 2384.47),(-9.28 -314.36 2380.81),(-33.08 -1050.61 2244.18),(154.54 -1637.42 2428.68),(356 -277.33 2346.22),(303.25 -938.87 2119.22),(293.53 -1600.61 2271.65),(-411.51 -240.08 2367.75),(551.46 -19.02 2150.18),(110.49 806.13 2481.84),
(99.25 1026.14 2519.61),(119.74 657.26 2469.4),(-153.89 595.72 2504.03),(-327.35 133.72 2533.68),(-428.34 -314.83 2334.56),(399.31 635.45 2450.33),(604.92 196.86 2389.74),(540.76 -62.18 2102.26),(147.99 200.65 2431.24),(165.11 -143.89 2384.47),(-9.28 -314.36 2380.81),(-33.08 -1050.61 2244.18),(154.54 -1637.42 2428.68),(356 -277.33 2346.22),(303.25 -938.87 2119.22),(293.53 -1600.61 2271.65),(-411.51 -240.08 2367.75),(551.46 -19.02 2150.18),(110.49 806.13 2481.84),
(123.96 985.47 2515.49),(139.41 618.49 2461.65),(-138.53 568.5 2498.69),(-311.01 105.69 2531.92),(-414.6 -353.08 2344.23),(425.4 600.68 2440.77),(632 166.34 2369.44),(532.06 -35.02 2073.55),(154.65 159.97 2421.6),(167.02 -182.53 2373.68),(-11.93 -339.47 2363.51),(-60.19 -1022.77 2171.02),(91.84 -1592.73 2381.73),(361.39 -304.28 2341.62),(313.59 -991.22 2138.42),(296.67 -1653.87 2282.79),(-397.33 -276.63 2375.51),(548.72 -1.47 2122.87),(134.44 767.43 2474.66),
(123.96 985.47 2515.49),(139.41 618.49 2461.65),(-138.53 568.5 2498.69),(-311.01 105.69 2531.92),(-414.6 -353.08 2344.23),(425.4 600.68 2440.77),(632 166.34 2369.44),(532.06 -35.02 2073.55),(154.65 159.97 2421.6),(167.02 -182.53 2373.68),(-11.93 -339.47 2363.51),(-60.19 -1022.77 2171.02),(91.84 -1592.73 2381.73),(361.39 -304.28 2341.62),(313.59 -991.22 2138.42),(296.67 -1653.87 2282.79),(-397.33 -276.63 2375.51),(548.72 -1.47 2122.87),(134.44 767.43 2474.66),
(147.72 950.01 2509.79),(158.24 585.11 2454.64),(-123.78 546.77 2491.89),(-274.54 77.25 2530.14),(-396.28 -395.99 2363.74),(446.74 567.7 2430.21),(659.51 138.02 2353.91),(519.33 18.82 2053.34),(162.13 125.29 2415.45),(168.7 -215.08 2366.21),(-15.37 -350.13 2350.33),(-77.44 -943.63 2090.69),(8.51 -1535.6 2295.41),(365.32 -320.02 2340.02),(325.82 -1010.79 2144.32),(302.29 -1673.24 2283.61),(-376 -317.13 2391.47),(542.68 38.68 2103.43),(156.98 734.25 2467.36),
(147.72 950.01 2509.79),(158.24 585.11 2454.64),(-123.78 546.77 2491.89),(-274.54 77.25 2530.14),(-396.28 -395.99 2363.74),(446.74 567.7 2430.21),(659.51 138.02 2353.91),(519.33 18.82 2053.34),(162.13 125.29 2415.45),(168.7 -215.08 2366.21),(-15.37 -350.13 2350.33),(-77.44 -943.63 2090.69),(8.51 -1535.6 2295.41),(365.32 -320.02 2340.02),(325.82 -1010.79 2144.32),(302.29 -1673.24 2283.61),(-376 -317.13 2391.47),(542.68 38.68 2103.43),(156.98 734.25 2467.36),
(170.63 926.27 2503.29),(176.09 562.49 2449.26),(-107.22 531.54 2487.15),(-232.85 55.52 2530.51),(-381.2 -430.07 2388.8),(470.23 550.16 2425.86),(678.56 119.78 2345.84),(513.1 84.19 2044.77),(171.69 101.76 2412.74),(170.31 -235.47 2361.96),(-16.09 -349.2 2339.37),(-85.16 -823.44 2017.37),(-43.98 -1440.61 2204.14),(367.57 -324.4 2339.92),(338.11 -1009.18 2144.92),(307.87 -1673.36 2277.92),(-356.5 -349.14 2412.42),(540.65 90.15 2094.95),(177.53 711.9 2461.11),
(170.63 926.27 2503.29),(176.09 562.49 2449.26),(-107.22 531.54 2487.15),(-232.85 55.52 2530.51),(-381.2 -430.07 2388.8),(470.23 550.16 2425.86),(678.56 119.78 2345.84),(513.1 84.19 2044.77),(171.69 101.76 2412.74),(170.31 -235.47 2361.96),(-16.09 -349.2 2339.37),(-85.16 -823.44 2017.37),(-43.98 -1440.61 2204.14),(367.57 -324.4 2339.92),(338.11 -1009.18 2144.92),(307.87 -1673.36 2277.92),(-356.5 -349.14 2412.42),(540.65 90.15 2094.95),(177.53 711.9 2461.11),
(188.49 917.07 2496.41),(190.88 552.92 2446.1),(-93.75 530.57 2484.7),(-201.37 50.27 2531.65),(-365.16 -450.04 2418.35),(488.18 542.7 2424.41),(675.78 107.18 2337.36),(510.5 143.27 2037.35),(179.63 91.86 2413.01),(171.1 -245.34 2360.63),(-19.66 -332.55 2340.71),(-84.9 -679.57 1971.3),(-56 -1325.97 2123.26),(366.99 -319.99 2341.32),(340.43 -992.27 2140.46),(308.27 -1652.53 2277.67),(-337.88 -366.65 2437.23),(538.03 137.3 2087.35),(194.54 702.61 2456.85),
(188.49 917.07 2496.41),(190.88 552.92 2446.1),(-93.75 530.57 2484.7),(-201.37 50.27 2531.65),(-365.16 -450.04 2418.35),(488.18 542.7 2424.41),(675.78 107.18 2337.36),(510.5 143.27 2037.35),(179.63 91.86 2413.01),(171.1 -245.34 2360.63),(-19.66 -332.55 2340.71),(-84.9 -679.57 1971.3),(-56 -1325.97 2123.26),(366.99 -319.99 2341.32),(340.43 -992.27 2140.46),(308.27 -1652.53 2277.67),(-337.88 -366.65 2437.23),(538.03 137.3 2087.35),(194.54 702.61 2456.85),
(200.63 931.2 2491.67),(202.25 566.68 2444.83),(-82.42 551.64 2484.12),(-177.46 69.6 2536.27),(-365.31 -439.5 2456.22),(498.46 552.91 2424.14),(633.62 119.97 2312.05),(505.07 192.09 2009.7),(185.04 106.46 2414.88),(171.14 -232.13 2361.04),(-23.9 -278.73 2337.8),(-82.09 -537.74 1942.42),(-60.86 -1216.36 2028.39),(365.98 -292.25 2343.4),(338.11 -945.71 2129.49),(308 -1593.77 2282.85),(-334.02 -354.63 2469.56),(526.46 180.1 2060.09),(207.88 716.6 2454.58),
(200.63 931.2 2491.67),(202.25 566.68 2444.83),(-82.42 551.64 2484.12),(-177.46 69.6 2536.27),(-365.31 -439.5 2456.22),(498.46 552.91 2424.14),(633.62 119.97 2312.05),(505.07 192.09 2009.7),(185.04 106.46 2414.88),(171.14 -232.13 2361.04),(-23.9 -278.73 2337.8),(-82.09 -537.74 1942.42),(-60.86 -1216.36 2028.39),(365.98 -292.25 2343.4),(338.11 -945.71 2129.49),(308 -1593.77 2282.85),(-334.02 -354.63 2469.56),(526.46 180.1 2060.09),(207.88 716.6 2454.58),
(208.04 967.67 2489.62),(209.81 603.15 2445),(-72.77 592.65 2486.61),(-169.29 116.21 2552.47),(-374.08 -398.31 2494.4),(504.17 587.12 2424.3),(543.67 170.7 2281.95),(500.45 226.91 1973.62),(188.26 144.84 2417.08),(170.7 -195.65 2362.14),(-26.73 -201.19 2339.1),(-78.64 -402.69 1929.79),(-66.06 -1091.78 1925.45),(367.19 -233.42 2346.01),(328.27 -878.06 2124.49),(305.23 -1523.22 2282.08),(-339.94 -312.54 2504.08),(507.58 217.58 2025.01),(216.87 753.19 2454.14),
(208.04 967.67 2489.62),(209.81 603.15 2445),(-72.77 592.65 2486.61),(-169.29 116.21 2552.47),(-374.08 -398.31 2494.4),(504.17 587.12 2424.3),(543.67 170.7 2281.95),(500.45 226.91 1973.62),(188.26 144.84 2417.08),(170.7 -195.65 2362.14),(-26.73 -201.19 2339.1),(-78.64 -402.69 1929.79),(-66.06 -1091.78 1925.45),(367.19 -233.42 2346.01),(328.27 -878.06 2124.49),(305.23 -1523.22 2282.08),(-339.94 -312.54 2504.08),(507.58 217.58 2025.01),(216.87 753.19 2454.14),
(211.89 1019.62 2490.28),(213.9 655.86 2446),(-65.54 646.55 2488.62),(-169.57 177.41 2571.81),(-384.17 -337.45 2527.36),(504.34 635.13 2424.72),(466.76 226.69 2267.74),(489.02 251.75 1957.93),(188.91 199.56 2419.12),(169.97 -143.25 2364.1),(-28.4 -131.94 2338.34),(-72.99 -271.45 1920.12),(-71.89 -932.88 1815.5),(365.97 -182.97 2350.72),(311.99 -834.23 2135.3),(301.82 -1490.04 2280.41),(-348.39 -251.63 2534.77),(485.28 247.61 2009.56),(222.13 805.93 2454.84),
(213.52 1076.7 2493.18),(215.62 714.32 2447.62),(-58.6 702.21 2492.7),(-173.27 242.61 2589.47),(-400.35 -271.13 2549.62),(500.6 686.67 2425.22),(453.72 267.89 2270.75),(472.69 266.39 1957.65),(187.7 259.09 2420.85),(169.55 -86.65 2367.47),(-28.92 -75.87 2336.4),(-66.19 -171.53 1912.36),(-91.14 -708.94 1686.36),(364.01 -142.1 2357.19),(290.39 -800.49 2145.98),(304.42 -1466.38 2276.64),(-362.49 -185.51 2556.26),(469.53 266.66 2009.83),(224.82 864.37 2456.45),
(213.52 1076.7 2493.18),(215.62 714.32 2447.62),(-58.6 702.21 2492.7),(-173.27 242.61 2589.47),(-400.35 -271.13 2549.62),(500.6 686.67 2425.22),(453.72 267.89 2270.75),(472.69 266.39 1957.65),(187.7 259.09 2420.85),(169.55 -86.65 2367.47),(-28.92 -75.87 2336.4),(-66.19 -171.53 1912.36),(-91.14 -708.94 1686.36),(364.01 -142.1 2357.19),(290.39 -800.49 2145.98),(304.42 -1466.38 2276.64),(-362.49 -185.51 2556.26),(469.53 266.66 2009.83),(224.82 864.37 2456.45),
(213.86 1126.51 2497.64),(215.97 763.62 2449.56),(-52.08 747.14 2498.6),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(496.15 730.15 2425.35),(533.1 290.13 2300.4),(472.11 280.99 1991.9),(185.51 308.16 2422.28),(169.19 -40.55 2371.5),(-27.34 -50.73 2334.33),(-60.78 -92.51 1904.66),(-112.02 -504.1 1597.11),(359.34 -119.1 2362.69),(262.75 -775.34 2144.55),(307.73 -1442.2 2272.48),(-341.96 -71.65 2544.15),(482.21 282.52 2043.32),(225.99 913.63 2458.54),
(213.86 1126.51 2497.64),(215.97 763.62 2449.56),(-52.08 747.14 2498.6),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(496.15 730.15 2425.35),(533.1 290.13 2300.4),(472.11 280.99 1991.9),(185.51 308.16 2422.28),(169.19 -40.55 2371.5),(-27.34 -50.73 2334.33),(-60.78 -92.51 1904.66),(-112.02 -504.1 1597.11),(359.34 -119.1 2362.69),(262.75 -775.34 2144.55),(307.73 -1442.2 2272.48),(-341.96 -71.65 2544.15),(482.21 282.52 2043.32),(225.99 913.63 2458.54),
(213.53 1158.99 2501.92),(215.57 795.43 2451.44),(-46.37 775.16 2505.86),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(491.93 757.14 2425.26),(601.41 310.58 2321.34),(471.16 278.54 2017.5),(182.7 339.07 2423.34),(168.87 -12.24 2375.3),(-25.27 -39.41 2333.2),(-59.05 -19.71 1899.74),(-122.75 -359.46 1549.93),(359.36 -100.01 2368.53),(248.24 -743.26 2133.11),(304.4 -1410.74 2266.95),(-341.96 -71.65 2544.15),(492.81 283.87 2068.14),(226.37 945.38 2460.67),
(213.53 1158.99 2501.92),(215.57 795.43 2451.44),(-46.37 775.16 2505.86),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(491.93 757.14 2425.26),(601.41 310.58 2321.34),(471.16 278.54 2017.5),(182.7 339.07 2423.34),(168.87 -12.24 2375.3),(-25.27 -39.41 2333.2),(-59.05 -19.71 1899.74),(-122.75 -359.46 1549.93),(359.36 -100.01 2368.53),(248.24 -743.26 2133.11),(304.4 -1410.74 2266.95),(-341.96 -71.65 2544.15),(492.81 283.87 2068.14),(226.37 945.38 2460.67),
(212.91 1170.77 2505.16),(215.11 807.64 2452.71),(-44.42 782.34 2505.59),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(487.28 763.43 2425.02),(631.15 313.81 2330.77),(463.95 261.55 2031.45),(180.69 350.21 2423.95),(168.73 -3.01 2377.83),(-21.58 -42.06 2330.35),(-58.33 38.86 1895.5),(-127.74 -233.06 1522.54),(350.16 -112.14 2375.87),(241.2 -691.19 2091.6),(293.02 -1341.1 2250.7),(-341.96 -71.65 2544.15),(491.79 270.25 2081.33),(226.39 957.55 2462.14),
(212.91 1170.77 2505.16),(215.11 807.64 2452.71),(-44.42 782.34 2505.59),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(487.28 763.43 2425.02),(631.15 313.81 2330.77),(463.95 261.55 2031.45),(180.69 350.21 2423.95),(168.73 -3.01 2377.83),(-21.58 -42.06 2330.35),(-58.33 38.86 1895.5),(-127.74 -233.06 1522.54),(350.16 -112.14 2375.87),(241.2 -691.19 2091.6),(293.02 -1341.1 2250.7),(-341.96 -71.65 2544.15),(491.79 270.25 2081.33),(226.39 957.55 2462.14),
(209.57 1151.56 2506.02),(212.77 788.45 2453.15),(-46.42 759.26 2503.21),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(483.89 743.62 2424.04),(639.98 293.75 2331.5),(451.72 229.28 2036.64),(179.19 330.35 2423.78),(169.61 -23.91 2378.02),(-15.79 -59.66 2323.66),(-57.8 70.74 1888.83),(-131.21 -122.58 1501.97),(348.01 -138.37 2375.01),(235.88 -681.04 2061.84),(272.53 -1317.12 2238.36),(-341.96 -71.65 2544.15),(483.1 240.02 2085.79),(223.76 938.4 2462.76),
(209.57 1151.56 2506.02),(212.77 788.45 2453.15),(-46.42 759.26 2503.21),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(483.89 743.62 2424.04),(639.98 293.75 2331.5),(451.72 229.28 2036.64),(179.19 330.35 2423.78),(169.61 -23.91 2378.02),(-15.79 -59.66 2323.66),(-57.8 70.74 1888.83),(-131.21 -122.58 1501.97),(348.01 -138.37 2375.01),(235.88 -681.04 2061.84),(272.53 -1317.12 2238.36),(-341.96 -71.65 2544.15),(483.1 240.02 2085.79),(223.76 938.4 2462.76),
(206.05 1104.84 2503.91),(210.92 740.11 2452.3),(-54.88 711.78 2489.74),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(483.68 698.52 2423.36),(639.52 247.49 2331.24),(439.32 195.41 2039.21),(180.75 282.28 2422.57),(174.06 -71.98 2375.02),(-8.13 -100.43 2316.99),(-56.81 82.67 1885.15),(-135.08 -52.98 1488.97),(348.96 -183.76 2362.91),(223.01 -719.21 2040.89),(245.86 -1342.98 2238.06),(-341.96 -71.65 2544.15),(472.69 204.1 2087.88),(220.81 890.15 2462.04),
(206.05 1104.84 2503.91),(210.92 740.11 2452.3),(-54.88 711.78 2489.74),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(483.68 698.52 2423.36),(639.52 247.49 2331.24),(439.32 195.41 2039.21),(180.75 282.28 2422.57),(174.06 -71.98 2375.02),(-8.13 -100.43 2316.99),(-56.81 82.67 1885.15),(-135.08 -52.98 1488.97),(348.96 -183.76 2362.91),(223.01 -719.21 2040.89),(245.86 -1342.98 2238.06),(-341.96 -71.65 2544.15),(472.69 204.1 2087.88),(220.81 890.15 2462.04),
(206.05 1104.84 2503.91),(210.92 740.11 2452.3),(-54.88 711.78 2489.74),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(483.68 698.52 2423.36),(639.52 247.49 2331.24),(439.32 195.41 2039.21),(180.75 282.28 2422.57),(174.06 -71.98 2375.02),(-8.13 -100.43 2316.99),(-56.81 82.67 1885.15),(-135.08 -52.98 1488.97),(348.96 -183.76 2362.91),(223.01 -719.21 2040.89),(245.86 -1342.98 2238.06),(-341.96 -71.65 2544.15),(472.69 204.1 2087.88),(220.81 890.15 2462.04),
(203.39 1040.39 2499.53),(209.59 672.42 2450.06),(-63.64 649.65 2478.68),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(484.98 634.54 2423.15),(634.15 184.85 2326.17),(433.22 154.65 2035),(182.84 216.06 2420.15),(178.47 -137.15 2368.95),(-1.31 -144.23 2307.78),(-55 83.3 1881.17),(-143.96 -39.97 1481.23),(356.35 -235.67 2356.09),(185.74 -731.77 2019.7),(228.35 -1346.09 2234.18),(-341.96 -71.65 2544.15),(466.72 159.68 2083.53),(218.39 822.54 2459.91),
(203.39 1040.39 2499.53),(209.59 672.42 2450.06),(-63.64 649.65 2478.68),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(484.98 634.54 2423.15),(634.15 184.85 2326.17),(433.22 154.65 2035),(182.84 216.06 2420.15),(178.47 -137.15 2368.95),(-1.31 -144.23 2307.78),(-55 83.3 1881.17),(-143.96 -39.97 1481.23),(356.35 -235.67 2356.09),(185.74 -731.77 2019.7),(228.35 -1346.09 2234.18),(-341.96 -71.65 2544.15),(466.72 159.68 2083.53),(218.39 822.54 2459.91),
(201.92 974.69 2494.18),(208.53 605.31 2447.4),(-70.54 590.21 2472.96),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(488.33 573.86 2422.68),(628.68 125.69 2320.39),(430.75 111.44 2026.39),(183.89 150.6 2418.01),(180.91 -201.62 2363.82),(-5.93 -191.68 2308.3),(-51.6 42.58 1881.46),(-156.68 -112.95 1485.1),(370.45 -274.83 2351.89),(129.33 -731.24 2011.25),(230.6 -1341.95 2228.49),(-341.96 -71.65 2544.15),(463.75 113.81 2075.39),(216.67 755.55 2457.1),
(201.92 974.69 2494.18),(208.53 605.31 2447.4),(-70.54 590.21 2472.96),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(488.33 573.86 2422.68),(628.68 125.69 2320.39),(430.75 111.44 2026.39),(183.89 150.6 2418.01),(180.91 -201.62 2363.82),(-5.93 -191.68 2308.3),(-51.6 42.58 1881.46),(-156.68 -112.95 1485.1),(370.45 -274.83 2351.89),(129.33 -731.24 2011.25),(230.6 -1341.95 2228.49),(-341.96 -71.65 2544.15),(463.75 113.81 2075.39),(216.67 755.55 2457.1),
(200.92 926.45 2488.7),(206.97 556.71 2444.65),(-77.2 552.79 2470.51),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(492.47 533.59 2422.31),(630.82 85.04 2320.22),(434.83 76.37 2025.69),(182.03 103.49 2416.46),(181.68 -248.52 2361.11),(5.26 -291.95 2322.74),(-46.58 -44.54 1901.38),(-156.68 -112.95 1485.1),(386.7 -266.69 2352.64),(112.14 -729.51 2025.42),(235.24 -1354.99 2229.48),(-341.96 -71.65 2544.15),(467.5 77.82 2074.78),(215.24 707.05 2454),
(200.92 926.45 2488.7),(206.97 556.71 2444.65),(-77.2 552.79 2470.51),(-118.49 292.83 2480.77),(-386.44 -144.95 2556.83),(492.47 533.59 2422.31),(630.82 85.04 2320.22),(434.83 76.37 2025.69),(182.03 103.49 2416.46),(181.68 -248.52 2361.11),(5.26 -291.95 2322.74),(-46.58 -44.54 1901.38),(-156.68 -112.95 1485.1),(386.7 -266.69 2352.64),(112.14 -729.51 2025.42),(235.24 -1354.99 2229.48),(-341.96 -71.65 2544.15),(467.5 77.82 2074.78),(215.24 707.05 2454),
